1.25892541e+00,-1.30971308e-01,1.25892541e+00,-1.30938596e-01,1.25892541e+00,1.28179752e-01,1.25892541e+00,-3.66312986e+01,1.25892541e+00,-3.27868550e+01,1.25892541e+00,-3.66310553e+01,1.25892541e+00,-3.27857524e+01,1.25892541e+00,-3.31493697e+01,
1.28824955e+00,-1.30971308e-01,1.28824955e+00,-1.30938596e-01,1.28824955e+00,1.28179752e-01,1.28824955e+00,-3.66312986e+01,1.28824955e+00,-3.27868550e+01,1.28824955e+00,-3.66310553e+01,1.28824955e+00,-3.27857524e+01,1.28824955e+00,-3.31493697e+01,
1.31825674e+00,-1.30971308e-01,1.31825674e+00,-1.30938596e-01,1.31825674e+00,1.28179752e-01,1.31825674e+00,-3.66312986e+01,1.31825674e+00,-3.27868550e+01,1.31825674e+00,-3.66310553e+01,1.31825674e+00,-3.27857524e+01,1.31825674e+00,-3.31493697e+01,
1.34896288e+00,-1.30971308e-01,1.34896288e+00,-1.30938596e-01,1.34896288e+00,1.28179752e-01,1.34896288e+00,-3.66312986e+01,1.34896288e+00,-3.27868550e+01,1.34896288e+00,-3.66310553e+01,1.34896288e+00,-3.27857524e+01,1.34896288e+00,-3.31493697e+01,
1.38038426e+00,-1.30971308e-01,1.38038426e+00,-1.30938596e-01,1.38038426e+00,1.28179752e-01,1.38038426e+00,-3.66312986e+01,1.38038426e+00,-3.27868550e+01,1.38038426e+00,-3.66310553e+01,1.38038426e+00,-3.27857524e+01,1.38038426e+00,-3.31493697e+01,
1.41253754e+00,-1.30971308e-01,1.41253754e+00,-1.30938596e-01,1.41253754e+00,1.28179752e-01,1.41253754e+00,-3.66312986e+01,1.41253754e+00,-3.27868550e+01,1.41253754e+00,-3.66310553e+01,1.41253754e+00,-3.27857524e+01,1.41253754e+00,-3.31493697e+01,
1.44543977e+00,-1.30971308e-01,1.44543977e+00,-1.30938596e-01,1.44543977e+00,1.28179752e-01,1.44543977e+00,-3.66312986e+01,1.44543977e+00,-3.27868550e+01,1.44543977e+00,-3.66310553e+01,1.44543977e+00,-3.27857524e+01,1.44543977e+00,-3.31493697e+01,
1.47910839e+00,-1.30971308e-01,1.47910839e+00,-1.30938596e-01,1.47910839e+00,1.28179752e-01,1.47910839e+00,-3.66312986e+01,1.47910839e+00,-3.27868550e+01,1.47910839e+00,-3.66310553e+01,1.47910839e+00,-3.27857524e+01,1.47910839e+00,-3.31493697e+01,
1.51356125e+00,-1.30971308e-01,1.51356125e+00,-1.30938596e-01,1.51356125e+00,1.28179752e-01,1.51356125e+00,-3.66312986e+01,1.51356125e+00,-3.27868550e+01,1.51356125e+00,-3.66310553e+01,1.51356125e+00,-3.27857524e+01,1.51356125e+00,-3.31493697e+01,
1.54881662e+00,-1.30971308e-01,1.54881662e+00,-1.30938596e-01,1.54881662e+00,1.28179752e-01,1.54881662e+00,-3.66312986e+01,1.54881662e+00,-3.27868550e+01,1.54881662e+00,-3.66310553e+01,1.54881662e+00,-3.27857524e+01,1.54881662e+00,-3.31493697e+01,
1.58489319e+00,-1.30971308e-01,1.58489319e+00,-1.30938596e-01,1.58489319e+00,1.28179752e-01,1.58489319e+00,-3.66312986e+01,1.58489319e+00,-3.27868550e+01,1.58489319e+00,-3.66310553e+01,1.58489319e+00,-3.27857524e+01,1.58489319e+00,-3.31493697e+01,
1.62181010e+00,-1.30971308e-01,1.62181010e+00,-1.30938596e-01,1.62181010e+00,1.28179752e-01,1.62181010e+00,-3.66312986e+01,1.62181010e+00,-3.27868550e+01,1.62181010e+00,-3.66310553e+01,1.62181010e+00,-3.27857524e+01,1.62181010e+00,-3.31493697e+01,
1.65958691e+00,-1.30971308e-01,1.65958691e+00,-1.30938596e-01,1.65958691e+00,1.28179752e-01,1.65958691e+00,-3.66312986e+01,1.65958691e+00,-3.27868550e+01,1.65958691e+00,-3.66310553e+01,1.65958691e+00,-3.27857524e+01,1.65958691e+00,-3.31493697e+01,
1.69824365e+00,-1.30971308e-01,1.69824365e+00,-1.30938596e-01,1.69824365e+00,1.28179752e-01,1.69824365e+00,-3.66312986e+01,1.69824365e+00,-3.27868550e+01,1.69824365e+00,-3.66310553e+01,1.69824365e+00,-3.27857524e+01,1.69824365e+00,-3.31493697e+01,
1.73780083e+00,-1.30971308e-01,1.73780083e+00,-1.30938596e-01,1.73780083e+00,1.28179752e-01,1.73780083e+00,-3.66312986e+01,1.73780083e+00,-3.27868550e+01,1.73780083e+00,-3.66310553e+01,1.73780083e+00,-3.27857524e+01,1.73780083e+00,-3.31493697e+01,
1.77827941e+00,-1.30971308e-01,1.77827941e+00,-1.30938596e-01,1.77827941e+00,1.28179752e-01,1.77827941e+00,-3.66312986e+01,1.77827941e+00,-3.27868550e+01,1.77827941e+00,-3.66310553e+01,1.77827941e+00,-3.27857524e+01,1.77827941e+00,-3.31493697e+01,
1.81970086e+00,-1.30971308e-01,1.81970086e+00,-1.30938596e-01,1.81970086e+00,1.28179752e-01,1.81970086e+00,-3.66312986e+01,1.81970086e+00,-3.27868550e+01,1.81970086e+00,-3.66310553e+01,1.81970086e+00,-3.27857524e+01,1.81970086e+00,-3.31493697e+01,
1.86208714e+00,-1.30971308e-01,1.86208714e+00,-1.30938596e-01,1.86208714e+00,1.28179752e-01,1.86208714e+00,-3.66312986e+01,1.86208714e+00,-3.27868550e+01,1.86208714e+00,-3.66310553e+01,1.86208714e+00,-3.27857524e+01,1.86208714e+00,-3.31493697e+01,
1.90546072e+00,-1.30971308e-01,1.90546072e+00,-1.30938596e-01,1.90546072e+00,1.28179752e-01,1.90546072e+00,-3.66312986e+01,1.90546072e+00,-3.27868550e+01,1.90546072e+00,-3.66310553e+01,1.90546072e+00,-3.27857524e+01,1.90546072e+00,-3.31493697e+01,
1.94984460e+00,-1.30971308e-01,1.94984460e+00,-1.30938596e-01,1.94984460e+00,1.28179752e-01,1.94984460e+00,-3.66312986e+01,1.94984460e+00,-3.27868550e+01,1.94984460e+00,-3.66310553e+01,1.94984460e+00,-3.27857524e+01,1.94984460e+00,-3.31493697e+01,
1.99526231e+00,-1.30971308e-01,1.99526231e+00,-1.30938596e-01,1.99526231e+00,1.28179752e-01,1.99526231e+00,-3.66312986e+01,1.99526231e+00,-3.27868550e+01,1.99526231e+00,-3.66310553e+01,1.99526231e+00,-3.27857524e+01,1.99526231e+00,-3.31493697e+01,
2.04173794e+00,-1.30971308e-01,2.04173794e+00,-1.30938596e-01,2.04173794e+00,1.28179752e-01,2.04173794e+00,-3.66312986e+01,2.04173794e+00,-3.27868550e+01,2.04173794e+00,-3.66310553e+01,2.04173794e+00,-3.27857524e+01,2.04173794e+00,-3.31493697e+01,
2.08929613e+00,-1.30971308e-01,2.08929613e+00,-1.30938597e-01,2.08929613e+00,1.28179752e-01,2.08929613e+00,-3.66312986e+01,2.08929613e+00,-3.27868550e+01,2.08929613e+00,-3.66310553e+01,2.08929613e+00,-3.27857524e+01,2.08929613e+00,-3.31493697e+01,
2.13796209e+00,-1.30971308e-01,2.13796209e+00,-1.30938597e-01,2.13796209e+00,1.28179752e-01,2.13796209e+00,-3.66312986e+01,2.13796209e+00,-3.27868550e+01,2.13796209e+00,-3.66310553e+01,2.13796209e+00,-3.27857524e+01,2.13796209e+00,-3.31493697e+01,
2.18776162e+00,-1.30971308e-01,2.18776162e+00,-1.30938597e-01,2.18776162e+00,1.28179752e-01,2.18776162e+00,-3.66312986e+01,2.18776162e+00,-3.27868550e+01,2.18776162e+00,-3.66310553e+01,2.18776162e+00,-3.27857524e+01,2.18776162e+00,-3.31493697e+01,
2.23872114e+00,-1.30971308e-01,2.23872114e+00,-1.30938597e-01,2.23872114e+00,1.28179752e-01,2.23872114e+00,-3.66312986e+01,2.23872114e+00,-3.27868550e+01,2.23872114e+00,-3.66310553e+01,2.23872114e+00,-3.27857524e+01,2.23872114e+00,-3.31493697e+01,
2.29086765e+00,-1.30971308e-01,2.29086765e+00,-1.30938597e-01,2.29086765e+00,1.28179752e-01,2.29086765e+00,-3.66312986e+01,2.29086765e+00,-3.27868550e+01,2.29086765e+00,-3.66310553e+01,2.29086765e+00,-3.27857524e+01,2.29086765e+00,-3.31493697e+01,
2.34422882e+00,-1.30971308e-01,2.34422882e+00,-1.30938597e-01,2.34422882e+00,1.28179752e-01,2.34422882e+00,-3.66312986e+01,2.34422882e+00,-3.27868550e+01,2.34422882e+00,-3.66310553e+01,2.34422882e+00,-3.27857524e+01,2.34422882e+00,-3.31493697e+01,
2.39883292e+00,-1.30971308e-01,2.39883292e+00,-1.30938597e-01,2.39883292e+00,1.28179752e-01,2.39883292e+00,-3.66312986e+01,2.39883292e+00,-3.27868550e+01,2.39883292e+00,-3.66310553e+01,2.39883292e+00,-3.27857524e+01,2.39883292e+00,-3.31493697e+01,
2.45470892e+00,-1.30971308e-01,2.45470892e+00,-1.30938597e-01,2.45470892e+00,1.28179752e-01,2.45470892e+00,-3.66312986e+01,2.45470892e+00,-3.27868550e+01,2.45470892e+00,-3.66310553e+01,2.45470892e+00,-3.27857524e+01,2.45470892e+00,-3.31493697e+01,
2.51188643e+00,-1.30971308e-01,2.51188643e+00,-1.30938597e-01,2.51188643e+00,1.28179752e-01,2.51188643e+00,-3.66312986e+01,2.51188643e+00,-3.27868550e+01,2.51188643e+00,-3.66310553e+01,2.51188643e+00,-3.27857524e+01,2.51188643e+00,-3.31493697e+01,
2.57039578e+00,-1.30971308e-01,2.57039578e+00,-1.30938597e-01,2.57039578e+00,1.28179752e-01,2.57039578e+00,-3.66312986e+01,2.57039578e+00,-3.27868550e+01,2.57039578e+00,-3.66310553e+01,2.57039578e+00,-3.27857524e+01,2.57039578e+00,-3.31493697e+01,
2.63026799e+00,-1.30971308e-01,2.63026799e+00,-1.30938597e-01,2.63026799e+00,1.28179752e-01,2.63026799e+00,-3.66312986e+01,2.63026799e+00,-3.27868550e+01,2.63026799e+00,-3.66310553e+01,2.63026799e+00,-3.27857524e+01,2.63026799e+00,-3.31493697e+01,
2.69153480e+00,-1.30971308e-01,2.69153480e+00,-1.30938597e-01,2.69153480e+00,1.28179752e-01,2.69153480e+00,-3.66312986e+01,2.69153480e+00,-3.27868550e+01,2.69153480e+00,-3.66310553e+01,2.69153480e+00,-3.27857524e+01,2.69153480e+00,-3.31493697e+01,
2.75422870e+00,-1.30971308e-01,2.75422870e+00,-1.30938597e-01,2.75422870e+00,1.28179752e-01,2.75422870e+00,-3.66312986e+01,2.75422870e+00,-3.27868550e+01,2.75422870e+00,-3.66310553e+01,2.75422870e+00,-3.27857524e+01,2.75422870e+00,-3.31493697e+01,
2.81838293e+00,-1.30971308e-01,2.81838293e+00,-1.30938597e-01,2.81838293e+00,1.28179752e-01,2.81838293e+00,-3.66312986e+01,2.81838293e+00,-3.27868550e+01,2.81838293e+00,-3.66310553e+01,2.81838293e+00,-3.27857524e+01,2.81838293e+00,-3.31493697e+01,
2.88403150e+00,-1.30971308e-01,2.88403150e+00,-1.30938597e-01,2.88403150e+00,1.28179752e-01,2.88403150e+00,-3.66312986e+01,2.88403150e+00,-3.27868550e+01,2.88403150e+00,-3.66310553e+01,2.88403150e+00,-3.27857524e+01,2.88403150e+00,-3.31493697e+01,
2.95120923e+00,-1.30971308e-01,2.95120923e+00,-1.30938597e-01,2.95120923e+00,1.28179752e-01,2.95120923e+00,-3.66312986e+01,2.95120923e+00,-3.27868550e+01,2.95120923e+00,-3.66310553e+01,2.95120923e+00,-3.27857524e+01,2.95120923e+00,-3.31493697e+01,
3.01995172e+00,-1.30971308e-01,3.01995172e+00,-1.30938597e-01,3.01995172e+00,1.28179752e-01,3.01995172e+00,-3.66312986e+01,3.01995172e+00,-3.27868550e+01,3.01995172e+00,-3.66310553e+01,3.01995172e+00,-3.27857524e+01,3.01995172e+00,-3.31493697e+01,
3.09029543e+00,-1.30971308e-01,3.09029543e+00,-1.30938598e-01,3.09029543e+00,1.28179752e-01,3.09029543e+00,-3.66312986e+01,3.09029543e+00,-3.27868550e+01,3.09029543e+00,-3.66310553e+01,3.09029543e+00,-3.27857524e+01,3.09029543e+00,-3.31493697e+01,
3.16227766e+00,-1.30971308e-01,3.16227766e+00,-1.30938598e-01,3.16227766e+00,1.28179752e-01,3.16227766e+00,-3.66312986e+01,3.16227766e+00,-3.27868550e+01,3.16227766e+00,-3.66310553e+01,3.16227766e+00,-3.27857524e+01,3.16227766e+00,-3.31493697e+01,
3.23593657e+00,-1.30971308e-01,3.23593657e+00,-1.30938598e-01,3.23593657e+00,1.28179752e-01,3.23593657e+00,-3.66312986e+01,3.23593657e+00,-3.27868550e+01,3.23593657e+00,-3.66310553e+01,3.23593657e+00,-3.27857524e+01,3.23593657e+00,-3.31493697e+01,
3.31131121e+00,-1.30971308e-01,3.31131121e+00,-1.30938598e-01,3.31131121e+00,1.28179752e-01,3.31131121e+00,-3.66312986e+01,3.31131121e+00,-3.27868550e+01,3.31131121e+00,-3.66310553e+01,3.31131121e+00,-3.27857524e+01,3.31131121e+00,-3.31493697e+01,
3.38844156e+00,-1.30971308e-01,3.38844156e+00,-1.30938598e-01,3.38844156e+00,1.28179752e-01,3.38844156e+00,-3.66312986e+01,3.38844156e+00,-3.27868550e+01,3.38844156e+00,-3.66310553e+01,3.38844156e+00,-3.27857524e+01,3.38844156e+00,-3.31493697e+01,
3.46736850e+00,-1.30971308e-01,3.46736850e+00,-1.30938598e-01,3.46736850e+00,1.28179752e-01,3.46736850e+00,-3.66312986e+01,3.46736850e+00,-3.27868550e+01,3.46736850e+00,-3.66310553e+01,3.46736850e+00,-3.27857524e+01,3.46736850e+00,-3.31493697e+01,
3.54813389e+00,-1.30971308e-01,3.54813389e+00,-1.30938598e-01,3.54813389e+00,1.28179752e-01,3.54813389e+00,-3.66312986e+01,3.54813389e+00,-3.27868550e+01,3.54813389e+00,-3.66310553e+01,3.54813389e+00,-3.27857524e+01,3.54813389e+00,-3.31493697e+01,
3.63078055e+00,-1.30971308e-01,3.63078055e+00,-1.30938598e-01,3.63078055e+00,1.28179752e-01,3.63078055e+00,-3.66312986e+01,3.63078055e+00,-3.27868550e+01,3.63078055e+00,-3.66310553e+01,3.63078055e+00,-3.27857524e+01,3.63078055e+00,-3.31493697e+01,
3.71535229e+00,-1.30971308e-01,3.71535229e+00,-1.30938598e-01,3.71535229e+00,1.28179752e-01,3.71535229e+00,-3.66312986e+01,3.71535229e+00,-3.27868550e+01,3.71535229e+00,-3.66310553e+01,3.71535229e+00,-3.27857524e+01,3.71535229e+00,-3.31493697e+01,
3.80189396e+00,-1.30971308e-01,3.80189396e+00,-1.30938598e-01,3.80189396e+00,1.28179752e-01,3.80189396e+00,-3.66312986e+01,3.80189396e+00,-3.27868550e+01,3.80189396e+00,-3.66310553e+01,3.80189396e+00,-3.27857524e+01,3.80189396e+00,-3.31493697e+01,
3.89045145e+00,-1.30971308e-01,3.89045145e+00,-1.30938599e-01,3.89045145e+00,1.28179752e-01,3.89045145e+00,-3.66312986e+01,3.89045145e+00,-3.27868550e+01,3.89045145e+00,-3.66310553e+01,3.89045145e+00,-3.27857524e+01,3.89045145e+00,-3.31493697e+01,
3.98107171e+00,-1.30971308e-01,3.98107171e+00,-1.30938599e-01,3.98107171e+00,1.28179752e-01,3.98107171e+00,-3.66312986e+01,3.98107171e+00,-3.27868550e+01,3.98107171e+00,-3.66310553e+01,3.98107171e+00,-3.27857524e+01,3.98107171e+00,-3.31493697e+01,
4.07380278e+00,-1.30971308e-01,4.07380278e+00,-1.30938599e-01,4.07380278e+00,1.28179752e-01,4.07380278e+00,-3.66312986e+01,4.07380278e+00,-3.27868550e+01,4.07380278e+00,-3.66310553e+01,4.07380278e+00,-3.27857524e+01,4.07380278e+00,-3.31493697e+01,
4.16869383e+00,-1.30971308e-01,4.16869383e+00,-1.30938599e-01,4.16869383e+00,1.28179752e-01,4.16869383e+00,-3.66312986e+01,4.16869383e+00,-3.27868550e+01,4.16869383e+00,-3.66310553e+01,4.16869383e+00,-3.27857524e+01,4.16869383e+00,-3.31493697e+01,
4.26579519e+00,-1.30971308e-01,4.26579519e+00,-1.30938599e-01,4.26579519e+00,1.28179752e-01,4.26579519e+00,-3.66312986e+01,4.26579519e+00,-3.27868550e+01,4.26579519e+00,-3.66310553e+01,4.26579519e+00,-3.27857524e+01,4.26579519e+00,-3.31493697e+01,
4.36515832e+00,-1.30971308e-01,4.36515832e+00,-1.30938599e-01,4.36515832e+00,1.28179752e-01,4.36515832e+00,-3.66312986e+01,4.36515832e+00,-3.27868550e+01,4.36515832e+00,-3.66310553e+01,4.36515832e+00,-3.27857524e+01,4.36515832e+00,-3.31493697e+01,
4.46683592e+00,-1.30971308e-01,4.46683592e+00,-1.30938599e-01,4.46683592e+00,1.28179752e-01,4.46683592e+00,-3.66312986e+01,4.46683592e+00,-3.27868550e+01,4.46683592e+00,-3.66310553e+01,4.46683592e+00,-3.27857524e+01,4.46683592e+00,-3.31493697e+01,
4.57088190e+00,-1.30971308e-01,4.57088190e+00,-1.30938600e-01,4.57088190e+00,1.28179752e-01,4.57088190e+00,-3.66312986e+01,4.57088190e+00,-3.27868550e+01,4.57088190e+00,-3.66310553e+01,4.57088190e+00,-3.27857524e+01,4.57088190e+00,-3.31493697e+01,
4.67735141e+00,-1.30971308e-01,4.67735141e+00,-1.30938600e-01,4.67735141e+00,1.28179752e-01,4.67735141e+00,-3.66312986e+01,4.67735141e+00,-3.27868550e+01,4.67735141e+00,-3.66310553e+01,4.67735141e+00,-3.27857524e+01,4.67735141e+00,-3.31493697e+01,
4.78630092e+00,-1.30971308e-01,4.78630092e+00,-1.30938600e-01,4.78630092e+00,1.28179752e-01,4.78630092e+00,-3.66312986e+01,4.78630092e+00,-3.27868550e+01,4.78630092e+00,-3.66310553e+01,4.78630092e+00,-3.27857524e+01,4.78630092e+00,-3.31493697e+01,
4.89778819e+00,-1.30971308e-01,4.89778819e+00,-1.30938600e-01,4.89778819e+00,1.28179752e-01,4.89778819e+00,-3.66312986e+01,4.89778819e+00,-3.27868550e+01,4.89778819e+00,-3.66310553e+01,4.89778819e+00,-3.27857524e+01,4.89778819e+00,-3.31493697e+01,
5.01187234e+00,-1.30971308e-01,5.01187234e+00,-1.30938600e-01,5.01187234e+00,1.28179752e-01,5.01187234e+00,-3.66312986e+01,5.01187234e+00,-3.27868550e+01,5.01187234e+00,-3.66310553e+01,5.01187234e+00,-3.27857524e+01,5.01187234e+00,-3.31493697e+01,
5.12861384e+00,-1.30971308e-01,5.12861384e+00,-1.30938601e-01,5.12861384e+00,1.28179752e-01,5.12861384e+00,-3.66312986e+01,5.12861384e+00,-3.27868550e+01,5.12861384e+00,-3.66310553e+01,5.12861384e+00,-3.27857524e+01,5.12861384e+00,-3.31493697e+01,
5.24807460e+00,-1.30971308e-01,5.24807460e+00,-1.30938601e-01,5.24807460e+00,1.28179752e-01,5.24807460e+00,-3.66312986e+01,5.24807460e+00,-3.27868550e+01,5.24807460e+00,-3.66310553e+01,5.24807460e+00,-3.27857524e+01,5.24807460e+00,-3.31493697e+01,
5.37031796e+00,-1.30971308e-01,5.37031796e+00,-1.30938601e-01,5.37031796e+00,1.28179752e-01,5.37031796e+00,-3.66312986e+01,5.37031796e+00,-3.27868550e+01,5.37031796e+00,-3.66310553e+01,5.37031796e+00,-3.27857524e+01,5.37031796e+00,-3.31493697e+01,
5.49540874e+00,-1.30971308e-01,5.49540874e+00,-1.30938601e-01,5.49540874e+00,1.28179752e-01,5.49540874e+00,-3.66312986e+01,5.49540874e+00,-3.27868550e+01,5.49540874e+00,-3.66310553e+01,5.49540874e+00,-3.27857524e+01,5.49540874e+00,-3.31493697e+01,
5.62341325e+00,-1.30971308e-01,5.62341325e+00,-1.30938602e-01,5.62341325e+00,1.28179752e-01,5.62341325e+00,-3.66312986e+01,5.62341325e+00,-3.27868550e+01,5.62341325e+00,-3.66310553e+01,5.62341325e+00,-3.27857524e+01,5.62341325e+00,-3.31493697e+01,
5.75439937e+00,-1.30971308e-01,5.75439937e+00,-1.30938602e-01,5.75439937e+00,1.28179752e-01,5.75439937e+00,-3.66312986e+01,5.75439937e+00,-3.27868550e+01,5.75439937e+00,-3.66310553e+01,5.75439937e+00,-3.27857524e+01,5.75439937e+00,-3.31493697e+01,
5.88843655e+00,-1.30971308e-01,5.88843655e+00,-1.30938602e-01,5.88843655e+00,1.28179752e-01,5.88843655e+00,-3.66312986e+01,5.88843655e+00,-3.27868550e+01,5.88843655e+00,-3.66310553e+01,5.88843655e+00,-3.27857524e+01,5.88843655e+00,-3.31493697e+01,
6.02559586e+00,-1.30971308e-01,6.02559586e+00,-1.30938603e-01,6.02559586e+00,1.28179752e-01,6.02559586e+00,-3.66312986e+01,6.02559586e+00,-3.27868550e+01,6.02559586e+00,-3.66310553e+01,6.02559586e+00,-3.27857524e+01,6.02559586e+00,-3.31493697e+01,
6.16595002e+00,-1.30971308e-01,6.16595002e+00,-1.30938603e-01,6.16595002e+00,1.28179752e-01,6.16595002e+00,-3.66312986e+01,6.16595002e+00,-3.27868550e+01,6.16595002e+00,-3.66310553e+01,6.16595002e+00,-3.27857524e+01,6.16595002e+00,-3.31493697e+01,
6.30957344e+00,-1.30971308e-01,6.30957344e+00,-1.30938603e-01,6.30957344e+00,1.28179752e-01,6.30957344e+00,-3.66312986e+01,6.30957344e+00,-3.27868550e+01,6.30957344e+00,-3.66310553e+01,6.30957344e+00,-3.27857524e+01,6.30957344e+00,-3.31493697e+01,
6.45654229e+00,-1.30971308e-01,6.45654229e+00,-1.30938604e-01,6.45654229e+00,1.28179752e-01,6.45654229e+00,-3.66312986e+01,6.45654229e+00,-3.27868550e+01,6.45654229e+00,-3.66310553e+01,6.45654229e+00,-3.27857524e+01,6.45654229e+00,-3.31493697e+01,
6.60693448e+00,-1.30971308e-01,6.60693448e+00,-1.30938604e-01,6.60693448e+00,1.28179752e-01,6.60693448e+00,-3.66312986e+01,6.60693448e+00,-3.27868550e+01,6.60693448e+00,-3.66310553e+01,6.60693448e+00,-3.27857524e+01,6.60693448e+00,-3.31493697e+01,
6.76082975e+00,-1.30971308e-01,6.76082975e+00,-1.30938604e-01,6.76082975e+00,1.28179752e-01,6.76082975e+00,-3.66312986e+01,6.76082975e+00,-3.27868550e+01,6.76082975e+00,-3.66310553e+01,6.76082975e+00,-3.27857524e+01,6.76082975e+00,-3.31493697e+01,
6.91830971e+00,-1.30971308e-01,6.91830971e+00,-1.30938605e-01,6.91830971e+00,1.28179752e-01,6.91830971e+00,-3.66312986e+01,6.91830971e+00,-3.27868550e+01,6.91830971e+00,-3.66310553e+01,6.91830971e+00,-3.27857524e+01,6.91830971e+00,-3.31493697e+01,
7.07945784e+00,-1.30971308e-01,7.07945784e+00,-1.30938605e-01,7.07945784e+00,1.28179752e-01,7.07945784e+00,-3.66312986e+01,7.07945784e+00,-3.27868550e+01,7.07945784e+00,-3.66310553e+01,7.07945784e+00,-3.27857524e+01,7.07945784e+00,-3.31493697e+01,
7.24435960e+00,-1.30971308e-01,7.24435960e+00,-1.30938606e-01,7.24435960e+00,1.28179752e-01,7.24435960e+00,-3.66312986e+01,7.24435960e+00,-3.27868550e+01,7.24435960e+00,-3.66310553e+01,7.24435960e+00,-3.27857524e+01,7.24435960e+00,-3.31493697e+01,
7.41310241e+00,-1.30971308e-01,7.41310241e+00,-1.30938606e-01,7.41310241e+00,1.28179752e-01,7.41310241e+00,-3.66312986e+01,7.41310241e+00,-3.27868550e+01,7.41310241e+00,-3.66310553e+01,7.41310241e+00,-3.27857524e+01,7.41310241e+00,-3.31493697e+01,
7.58577575e+00,-1.30971308e-01,7.58577575e+00,-1.30938606e-01,7.58577575e+00,1.28179752e-01,7.58577575e+00,-3.66312986e+01,7.58577575e+00,-3.27868550e+01,7.58577575e+00,-3.66310553e+01,7.58577575e+00,-3.27857524e+01,7.58577575e+00,-3.31493697e+01,
7.76247117e+00,-1.30971308e-01,7.76247117e+00,-1.30938607e-01,7.76247117e+00,1.28179752e-01,7.76247117e+00,-3.66312986e+01,7.76247117e+00,-3.27868550e+01,7.76247117e+00,-3.66310553e+01,7.76247117e+00,-3.27857524e+01,7.76247117e+00,-3.31493697e+01,
7.94328235e+00,-1.30971308e-01,7.94328235e+00,-1.30938608e-01,7.94328235e+00,1.28179752e-01,7.94328235e+00,-3.66312986e+01,7.94328235e+00,-3.27868550e+01,7.94328235e+00,-3.66310553e+01,7.94328235e+00,-3.27857524e+01,7.94328235e+00,-3.31493697e+01,
8.12830516e+00,-1.30971308e-01,8.12830516e+00,-1.30938608e-01,8.12830516e+00,1.28179752e-01,8.12830516e+00,-3.66312986e+01,8.12830516e+00,-3.27868550e+01,8.12830516e+00,-3.66310553e+01,8.12830516e+00,-3.27857524e+01,8.12830516e+00,-3.31493697e+01,
